t,p,v,a
0.07700000000000005,0.028864351457190112,0.33114963503649675,1.0000000000000002
0.07800000000000006,0.029980683573978435,0.3386496350364968,1.0000000000000002
0.07900000000000006,0.031122015690766763,0.34614963503649676,1.0000000000000002
0.08000000000000006,0.03228834780755509,0.3536496350364968,1.0000000000000002
0.08100000000000006,0.03347967992434341,0.3611496350364968,1.0000000000000002
0.08200000000000006,0.034696012041131735,0.36864963503649684,1.0000000000000002
0.08300000000000006,0.035937344157920055,0.3761496350364968,1.0000000000000002
0.08400000000000006,0.03720367627470838,0.38364963503649685,1.0000000000000002
0.08500000000000006,0.0384950083914967,0.3911496350364968,1.0000000000000002
0.08600000000000006,0.039811340508285026,0.39864963503649686,1.0000000000000002
0.08700000000000006,0.041152672625073355,0.4061496350364968,1.0000000000000002
0.08800000000000006,0.04251900474186168,0.4136496350364969,1.0000000000000002
0.08900000000000007,0.04391033685865,0.4211496350364968,1.0000000000000002
0.09000000000000007,0.04532666897543832,0.4286496350364969,1.0000000000000002
0.09100000000000007,0.04676800109222665,0.4361496350364969,1.0000000000000002
0.09200000000000007,0.048234333209014976,0.4436496350364969,1.0000000000000002
0.09300000000000007,0.049725665325803296,0.4511496350364969,1.0000000000000002
0.09400000000000007,0.05124199744259162,0.4586496350364969,1.0000000000000002
0.09500000000000007,0.05278332955937995,0.4661496350364969,1.0000000000000002
0.09600000000000007,0.054349661676168275,0.47364963503649693,1.0000000000000002
0.09700000000000007,0.05594099379295659,0.48114963503649694,1.0000000000000002
0.09800000000000007,0.057557325909744925,0.48864963503649694,1.0000000000000002
0.09900000000000007,0.05919865802653325,0.49614963503649695,1.0000000000000002
0.10000000000000007,0.06086499014332157,0.503649635036497,1.0000000000000002
0.10100000000000008,0.0625563222601099,0.5111496350364969,1.0000000000000002
0.10200000000000008,0.06427265437689822,0.518649635036497,1.0000000000000002
0.10300000000000008,0.06601398649368655,0.5261496350364969,1.0000000000000002
0.10400000000000008,0.06778031861047487,0.533649635036497,1.0000000000000002
0.10500000000000008,0.06957165072726319,0.541149635036497,1.0000000000000002
0.10600000000000008,0.07138798284405153,0.548649635036497,1.0000000000000002
0.10700000000000008,0.07322931496083983,0.5561496350364971,1.0000000000000002
0.10800000000000008,0.07509564707762817,0.563649635036497,1.0000000000000002
0.10900000000000008,0.07698697919441651,0.5711496350364971,1.0000000000000002
0.11000000000000008,0.07890331131120482,0.578649635036497,1.0000000000000002
0.11100000000000008,0.08084464342799315,0.5861496350364971,1.0000000000000002
0.11200000000000009,0.08281097554478146,0.593649635036497,1.0000000000000002
0.11300000000000009,0.0848023076615698,0.6011496350364971,1.0000000000000002
0.11400000000000009,0.08681863977835812,0.608649635036497,1.0000000000000002
0.11500000000000009,0.08885997189514644,0.6161496350364971,1.0000000000000002
0.11600000000000009,0.09092630401193477,0.6236496350364971,1.0000000000000002
0.11700000000000009,0.0930176361287231,0.6311496350364971,1.0000000000000002
0.11800000000000009,0.09513396824551142,0.6386496350364971,1.0000000000000002
0.11900000000000009,0.09727530036229974,0.6461496350364971,1.0000000000000002
0.12000000000000009,0.09944163247908808,0.6536496350364971,1.0000000000000002
0.1210000000000001,0.1016329645958764,0.6611496350364972,1.0000000000000002
0.1220000000000001,0.10384929671266473,0.6686496350364971,1.0000000000000002
0.1230000000000001,0.10609062882945305,0.6761496350364972,1.0000000000000002
0.1240000000000001,0.10835696094624139,0.6836496350364971,1.0000000000000002
0.12500000000000008,0.11064829306302967,0.6911496350364971,1.0000000000000002
0.12600000000000008,0.11296462517981799,0.698649635036497,1.0000000000000002
0.12700000000000009,0.11530595729660634,0.7061496350364971,1.0000000000000002
0.12800000000000009,0.11767228941339465,0.713649635036497,1.0000000000000002
0.1290000000000001,0.12006362153018298,0.7211496350364971,1.0000000000000002
